layer,dep_name,prov_name,type,download_path
CAJAMARCA,CAJAMARCA,JAEN,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_jaen.gpkg
CAJAMARCA,CAJAMARCA,JAEN,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_jaen_simplified.gpkg
CAJAMARCA,CAJAMARCA,SAN IGNACIO,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_san_ignacio.gpkg
CAJAMARCA,CAJAMARCA,SAN IGNACIO,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_san_ignacio_simplified.gpkg
CAJAMARCA,CAJAMARCA,SAN MARCOS,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_san_marcos.gpkg
CAJAMARCA,CAJAMARCA,SAN MARCOS,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_san_marcos_simplified.gpkg
CAJAMARCA,CAJAMARCA,SAN MIGUEL,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_san_miguel.gpkg
CAJAMARCA,CAJAMARCA,SAN MIGUEL,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_san_miguel_simplified.gpkg
CAJAMARCA,CAJAMARCA,SAN PABLO,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_san_pablo.gpkg
CAJAMARCA,CAJAMARCA,SAN PABLO,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_san_pablo_simplified.gpkg
CAJAMARCA,CAJAMARCA,SANTA CRUZ,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_santa_cruz.gpkg
CAJAMARCA,CAJAMARCA,SANTA CRUZ,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_santa_cruz_simplified.gpkg
CALLAO,CALLAO,CALLAO,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/callao_callao.gpkg
CALLAO,CALLAO,CALLAO,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/callao_callao_simplified.gpkg
CUSCO,CUSCO,ACOMAYO,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cusco_acomayo.gpkg
CUSCO,CUSCO,ACOMAYO,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cusco_acomayo_simplified.gpkg
CUSCO,CUSCO,ANTA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cusco_anta.gpkg
CUSCO,CUSCO,ANTA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cusco_anta_simplified.gpkg
CUSCO,CUSCO,CALCA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cusco_calca.gpkg
