anp_nombre,anp_categoria,download_path
SELVA VIRGEN,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_selva_virgen.gpkg
SIETE CATARATAS QANCHIS PACCHA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_siete_cataratas_qanchis_paccha.gpkg
SUMAC INTI,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_sumac_inti.gpkg
SUMAC PACHA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_sumac_pacha.gpkg
SUMAC QUILLA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_sumac_quilla.gpkg
SUTTOC Y PACCHAC,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_suttoc_y_pacchac.gpkg
TAMBO ILUSION,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_tambo_ilusion.gpkg
TAMBOPATA ECO LODGE,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_tambopata_eco_lodge.gpkg
TAMBOPATA ECO LODGE I,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_tambopata_eco_lodge_i.gpkg
TILACANCHA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_tilacancha.gpkg
TOTORABAMBA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_totorabamba.gpkg
UNCHOG,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_unchog.gpkg
UTCO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_utco.gpkg
WACAN NUMI,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_wacan_numi.gpkg
WAYQECHA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_wayqecha.gpkg
YACILA DE ZAMBA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_yacila_de_zamba.gpkg
YASGOLCA SANTA LUCIA MONTEVIDEO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_yasgolca_santa_lucia_montevideo.gpkg
ZARAGOZA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_zaragoza.gpkg
ZOO PERU,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_zoo_peru.gpkg
ZOO PERU I,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_zoo_peru_i.gpkg
ALBUFERA DE MEDIO MUNDO,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_albufera_de_medio_mundo.gpkg
ALTO NANAY PINTUYACU CHAMBIRA,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_alto_nanay_pintuyacu_chambira.gpkg
AMPIYACU APAYACU,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_ampiyacu_apayacu.gpkg
ANGOSTURA FAICAL,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_angostura_faical.gpkg
AUSANGATE,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_ausangate.gpkg
BOSQUE DE PUYA RAYMONDI TITANKAYOCC,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosque_de_puya_raymondi_titankayocc.gpkg
BOSQUE HUACRUPE LA CALERA,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosque_huacrupe_la_calera.gpkg
BOSQUE MONTANO DE CARPISH,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosque_montano_de_carpish.gpkg
BOSQUE MOYAN PALACIO,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosque_moyan_palacio.gpkg
BOSQUE NUBLADO AMARU HUACHOCOLPA CHIHUANA,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosque_nublado_amaru_huachocolpa_chihuana.gpkg
BOSQUES DE SHUNTE Y MISHOLLO,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosques_de_shunte_y_mishollo.gpkg
BOSQUES EL CHAUPE CUNIA Y CHINCHIQUILLA,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosques_el_chaupe_cunia_y_chinchiquilla.gpkg
BOSQUES SECOS DEL MARANON,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosques_secos_del_maranon.gpkg
