anp_nombre,anp_categoria,download_path
San Juan Bautista,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_san_juan_bautista.gpkg
San Lorenzo,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_san_lorenzo.gpkg
San Luis,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_san_luis.gpkg
San Marcos,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_san_marcos.gpkg
San Pedro de Chuquibamba,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_san_pedro_de_chuquibamba.gpkg
Santa Catalina de Moza,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_santa_catalina_de_moza.gpkg
Santuario de La Veronica,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_santuario_de_la_veronica.gpkg
Selva Virgen,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_selva_virgen.gpkg
Siete Cataratas - Qanchis Paccha,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_siete_cataratas_qanchis_paccha.gpkg
Sumac Inti,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_sumac_inti.gpkg
Sumac Pacha,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_sumac_pacha.gpkg
Sumac Quilla,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_sumac_quilla.gpkg
Suttoc y Pacchac,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_suttoc_y_pacchac.gpkg
Tambo Ilusion,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_tambo_ilusion.gpkg
Tambopata Eco Lodge,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_tambopata_eco_lodge.gpkg
Tambopata Eco Lodge I,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_tambopata_eco_lodge_i.gpkg
Tilacancha,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_tilacancha.gpkg
Totorabamba,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_totorabamba.gpkg
Unchog,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_unchog.gpkg
Utco,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_utco.gpkg
Wacan Numi,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_wacan_numi.gpkg
Wayqecha,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_wayqecha.gpkg
Yacila de Zamba,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_yacila_de_zamba.gpkg
"Yasgolca - Santa Lucia, Montevideo",Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_yasgolca_santa_lucia_montevideo.gpkg
Zaragoza,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_zaragoza.gpkg
Zoo Peru,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_zoo_peru.gpkg
Zoo Peru I,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_zoo_peru_i.gpkg
Albufera de Medio Mundo,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_albufera_de_medio_mundo.gpkg
Alto Nanay - Pintuyacu Chambira,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_alto_nanay_pintuyacu_chambira.gpkg
Ampiyacu Apayacu,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_ampiyacu_apayacu.gpkg
Angostura-Faical,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_angostura-faical.gpkg
Ausangate,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_ausangate.gpkg
Bosque de Puya Raymondi - Titankayocc,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosque_de_puya_raymondi_titankayocc.gpkg
Bosque Huacrupe - La Calera,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosque_huacrupe_la_calera.gpkg
Bosque Montano de Carpish,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosque_montano_de_carpish.gpkg
Bosque Moyan - Palacio,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosque_moyan_palacio.gpkg
Bosque Nublado Amaru - Huachocolpa - Chihuana,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosque_nublado_amaru_huachocolpa_chihuana.gpkg
Bosques de Shunte y Mishollo,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosques_de_shunte_y_mishollo.gpkg
"Bosques El Chaupe, Cunia y Chinchiquilla",Área de Conservación Regional,"https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosques_el_chaupe,_cunia_y_chinchiquilla.gpkg"
Bosques Secos del Maranon,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosques_secos_del_maranon.gpkg
Bosques Secos Salitral - Huarmaca,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosques_secos_salitral_huarmaca.gpkg
Bosques Tropicales Estacionalmente Secos del Maranon,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosques_tropicales_estacionalmente_secos_del_maranon.gpkg
Choquequirao,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_choquequirao.gpkg
Chuyapi Urusayhua,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_chuyapi_urusayhua.gpkg
Codo del Pozuzo,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_codo_del_pozuzo.gpkg
Comunal Alto Tamaya - Abujao,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_comunal_alto_tamaya_abujao.gpkg
Comunal Tamshiyacu Tahuayo,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_comunal_tamshiyacu_tahuayo.gpkg
Cordillera Escalera,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_cordillera_escalera.gpkg
Huaytapallana,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_huaytapallana.gpkg
Humedales de Ventanilla,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_humedales_de_ventanilla.gpkg
Imiria,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_imiria.gpkg
Laguna de Huacachina,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_laguna_de_huacachina.gpkg
Maijuna Kichwa,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_maijuna_kichwa.gpkg
Paramos y Bosques Montanos de Jaen y Tabaconas,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_paramos_y_bosques_montanos_de_jaen_y_tabaconas.gpkg
Q'eros Kosnipata,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_qeros_kosnipata.gpkg
Sistema de Lomas de Lima,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_sistema_de_lomas_de_lima.gpkg
Tres Canones,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_tres_canones.gpkg
Vilacota Maure,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_vilacota_maure.gpkg
Vista Alegre - Omia,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_vista_alegre_omia.gpkg
Ancon,Zona Reservada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/zr_ancon.gpkg
Bosque de Zarate,Zona Reservada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/zr_bosque_de_zarate.gpkg
Chancaybanos,Zona Reservada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/zr_chancaybanos.gpkg
Cordillera Huayhuash,Zona Reservada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/zr_cordillera_huayhuash.gpkg
Reserva Paisajistica Cerro Khapia,Zona Reservada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/zr_reserva_paisajistica_cerro_khapia.gpkg
Rio Nieva,Zona Reservada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/zr_rio_nieva.gpkg
Santiago Comaina,Zona Reservada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/zr_santiago_comaina.gpkg
Sierra del Divisor,Zona Reservada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/zr_sierra_del_divisor.gpkg
